filename,red_count,white_count
training_image_0.jpg,2,2
training_image_1.jpg,2,2
training_image_2.jpg,2,2
training_image_3.jpg,2,2
training_image_4.jpg,2,2
training_image_5.jpg,2,2
training_image_6.jpg,2,2
training_image_7.jpg,2,2
training_image_8.jpg,2,2
training_image_9.jpg,1,3
training_image_10.jpg,1,3
training_image_11.jpg,1,3
training_image_12.jpg,1,3
training_image_13.jpg,1,3
training_image_14.jpg,1,3
training_image_15.jpg,1,3
training_image_16.jpg,1,3
training_image_17.jpg,1,3
training_image_18.jpg,1,3
training_image_19.jpg,0,4
training_image_20.jpg,0,4
training_image_21.jpg,0,4
training_image_22.jpg,0,4
training_image_23.jpg,0,4
training_image_24.jpg,0,4
training_image_25.jpg,0,4
training_image_26.jpg,0,4
training_image_27.jpg,0,4
training_image_28.jpg,0,4
